code,description,concept_id,vocabulary_id,domain_id,standard_concept
DELF016,"Subcutaneous implantation of an automatic cardiac defibrillator without atrial defibrillation function, with insertion of a straight intraatrial lead and intraventricular lead via the transcutaneous venous route",,,,Non-standard
DELF013,"Subcutaneous implantation of an automatic cardiac defibrillator, with insertion of a right intraventricular lead via the transcutaneous venous route",,,,Non-standard
DELF014,"Subcutaneous implantation of an automatic cardiac defibrillator, with placement of a right intraatrial lead and intraventricular lead, and a lead in a left cardiac vein via the transcutaneous venous route",,,,Non-standard
DELF020,"Subcutaneous implantation of an automatic cardiac defibrillator, with placement of a right intraventricular lead and a lead in a left cardiac vein via the transcutaneous venous route",,,,Non-standard
FGLB002,"Subcutaneous injection of an allergenic extract at increasing concentration, until the maintenance dose for specific desensitization is obtained by semi-accelerated or accelerated method [semirush or rush]",,,,Non-standard
QEFA007,Subcutaneous mastectomy with removal of areolomipple plaque,,,,Non-standard
QZLA004,Subcutaneous pharmacological implant placement,,,,Non-standard
QZGA002,Subcutaneous pharmacological implant removal or change,,,,Non-standard
DEEA001,Subcutaneous repositioning of an implantable cardiac pacing or defibrillation generator,,,,Non-standard
QZEA044,"Subcutaneous subcutaneous graft of deepidermized skin for filling of cutaneous depression, by direct approach",,,,Non-standard
QZLB001,Subcutaneous subcutaneous injection of adipose tissue,,,,Non-standard
YYYY017,Subcutaneous subcutaneous sub-fascial injection of autologous adipose tissue in the face,,,,Non-standard
QZEA045,"Subcutaneous subcutaneous sub-fascial transplant of celluloadipose tissue for filling of cutaneous depression, by direct approach",,,,Non-standard
QZHA005,"Subcutaneous susfascial tissue biopsy, by direct approach",,,,Non-standard
AALA002,"Subdural electrode implantation for electrocorticographic recording, by craniotomy",,,,Non-standard
PDHA001,"Subfascial soft tissue biopsy, by direct approach",,,,Non-standard
HKLB002,Subfissural and / or intrasphincteric injection of the anus,,,,Non-standard
HCFA003,"Sublingual gland resection, by direct approach",,,,Non-standard
HCNM901,Submandibular gland lithotripsy,,,,Non-standard
HCFA011,"Submandibular gland resection [Submandibulectomy] [Submaxillectomy], by cervicofacial approach",,,,Non-standard
16.03.08,Substance loss coverage by autograft skin,,,,Non-standard
08.04.03.04,Subtotal hysterectomy,,,,Non-standard
JKFA012,"Subtotal hysterectomy with posterior suspension of the cervix [colposuspension] and indirect cervicocystopexy to the pectineal ligament [Cooper's], by laparotomy",,,,Non-standard
JKFA014,"Subtotal hysterectomy with posterior suspension of the cervix [colposuspension], by laparotomy",,,,Non-standard
JKFA001,"Subtotal hysterectomy with unilateral or bilateral adnexectomy and posterior suspension of the cervix [colposuspension], by laparotomy",,,,Non-standard
JKFC006,"Subtotal hysterectomy with unilateral or bilateral adnexectomy, by laparoscopy",,,,Non-standard
JKFA032,"Subtotal hysterectomy with unilateral or bilateral adnexectomy, by laparotomy",,,,Non-standard
JKFA029,"Subtotal hysterectomy with unilateral or bilateral adnexectomy, posterior suspension of the cervix [colposuspension] and indirect cervicocystopexy to the pectineal ligament [Cooper's], by laparotomy",,,,Non-standard
JKFC002,"Subtotal hysterectomy, by laparoscopy",,,,Non-standard
JKFA024,"Subtotal hysterectomy, by laparotomy",,,,Non-standard
JLFA003,"Subtotal or total colpectomy, by laparotomy",,,,Non-standard
JLFA004,"Subtotal or total colpectomy, by vaginal approach",,,,Non-standard
GAFA002,Subtotal or total excision [amputation] of the tip and / or wing of the nose,,,,Non-standard
DCFA001,"Subtotal pericardectomy, by thoracotomy",,,,Non-standard
HJFC001,"Subtotal rectocolic resection for congenital aganglionosis by laparoscopy, with restoration of continuity via the anal route",,,,Non-standard
HJFA016,"Subtotal rectocolic resection for congenital aganglionosis by laparotomy, with restoration of continuity by laparotomy or anal",,,,Non-standard
KCFA009,"Subtotal thyroidectomy, by cervicothoracotomy",,,,Non-standard
KCFA010,"Subtotal thyroidectomy, by cervicotomy",,,,Non-standard
HBFA003,Subtractive osteoplasty of the alveolar arch in an area of ??7 teeth or more,,,,Non-standard
HBFA005,Subtractive osteoplasty of the alveolar arch on a sector of 1 to 3 teeth,,,,Non-standard
HBFA004,Subtractive osteoplasty of the alveolar arch on a sector of 4 to 6 teeth,,,,Non-standard
QZJB002,"Superficial and / or deep collection evacuation of the skin and soft tissues, transcutaneously without guidance",,,,Non-standard
AHFA002,"Superficial cervical nerve tumor resection, by cervicotomy",,,,Non-standard
17.05.04,Superficial interstitial brachytherapy,,,,Non-standard
ZZNL006,"Superficial interstitial brachytherapy at low dose rate without a source projector, with two-dimensional dosimetry after acquisition of anatomical data by radiographic images of spatial identification",,,,Non-standard
ZZNL002,"Superficial interstitial brachytherapy with pulsed dose rate, with two-dimensional dosimetry after acquisition of anatomical data by radiographic images of spatial identification",,,,Non-standard
FCFA024,Superficial lymphangioma excision,,,,Non-standard
ZZHJ022,"Superficial organ biopsy on multiple targets, transcutaneously with ultrasound guidance",,,,Non-standard
ZZHJ016,"Superficial organ puncture or fine-needle aspiration on several targets, transcutaneously with ultrasound guidance",,,,Non-standard
EAFA003,"Superficial supratentorial cerebral arteriovenous malformation excision with a diameter less than or equal to 30 mm, by craniotomy",,,,Non-standard
EFSA001,"Superficial vein ligation of the limbs or neck, by direct approach",,,,Non-standard
EJMA901,"Superficial vein valvuloplasty of the lower limb, by direct approach",,,,Non-standard
EFCA002,"Superficial vein wound suture of the limbs or neck, by direct approach",,,,Non-standard
16.03.03.01,Superficial wound trimming and / or suturing of the skin and subcutaneous cellular tissue,,,,Non-standard
DGCA016,"Superior aortomesenteric antegrade bypass, by laparotomy",,,,Non-standard
LBFA011,"Superior maxillectomy, with reconstruction of the floor of the orbit by nasal septum flap",,,,Non-standard
FCFA002,Superior mediastinal lymphonodal [lymph node] dissection by cervicotomy,,,,Non-standard
GFFA033,"Superior pulmonary lobectomy with resection of rib, vertebra, subclavian vessel, cervical lymph node [lymph node] excision and brachial plexus release, by cervicothoracotomy",,,,Non-standard
04.04.02.02,Superior vena cava disobstruction,,,,Non-standard
QEFA014,Supernumerary nipple resection,,,,Non-standard
JQQP099,Supervision of the work by a practitioner different from the one performing the extraction,,,,Non-standard
YYYY285,Supplement for an emergency procedure between 12 a.m. and 8 a.m. (S) applied to delivery or labor monitoring procedures performed by the midwife,,,,Non-standard
YYYY755,Supplement for avulsion of 4 molars retained or in the germ state performed in an office under local anesthesia,,,,Non-standard
YYYY008,"Supplement for carrying out a radiological examination by a mountain doctor during the diagnostic and therapeutic management at the same time of an osteoarticular, musculotendinous or soft tissue lesion of traumatic origin",,,,Non-standard
YYYY058,Supplement for carrying out blood gas during level 1 respiratory functional exploration,,,,Non-standard
YYYY186,Supplement for carrying out blood gas during level 2 respiratory functional exploration,,,,Non-standard
YYYY232,Supplement for carrying out blood gas during level 3 respiratory functional exploration,,,,Non-standard
YYYY065,Supplement for catheterization and injection of radiological contrast agent into the lacrimal passages,,,,Non-standard
YYYY614,Supplement for dental surgery for a patient with ALD and treated with direct oral anticoagulants [DOA] or vitamin K [AVK],,,,Non-standard
YYYY600,Supplement for digital archiving of a mammogram or a CT or remnographic examination,,,,Non-standard
YYYY490,Supplement for electrocardiography performed at the patient's home,,,,Non-standard
YYYY740,Supplement for emergency procedures from 8 p.m. to 12 a.m. (P) applied to acts of childbirth or labor monitoring performed by the midwife,,,,Non-standard
YYYY603,Supplement for emergency procedures performed on a Sunday or on a public holiday (F) applied to childbirth or labor monitoring procedures performed by the midwife,,,,Non-standard
YYYY022,Supplement for extracorporeal circulation during a pulmonary surgery procedure,,,,Non-standard
YYYY079,Supplement for fitting 10 plywood or solid teeth to a removable prosthesis on a metal frame,,,,Non-standard
YYYY184,Supplement for fitting 11 plywood or solid teeth to a removable prosthesis on a metal frame,,,,Non-standard
YYYY284,Supplement for fitting 12 plywood or solid teeth to a removable prosthesis on a metal frame,,,,Non-standard
YYYY236,Supplement for fitting 13 plywood or solid teeth to a removable prosthesis on a metal frame,,,,Non-standard
YYYY353,Supplement for fitting 14 plywood or solid teeth to a removable prosthesis on a metal frame,,,,Non-standard
YYYY329,Supplement for fitting 2 plywood or solid teeth to a removable prosthesis on a metal frame,,,,Non-standard
YYYY258,Supplement for fitting 3 plywood or solid teeth to a removable prosthesis on a metal frame,,,,Non-standard
YYYY259,Supplement for fitting 4 plywood or solid teeth to a removable prosthesis on a metal frame,,,,Non-standard
YYYY440,Supplement for fitting 5 plywood or solid teeth to a removable prosthesis on a metal frame,,,,Non-standard
YYYY447,Supplement for fitting 6 plywood or solid teeth to a removable prosthesis on a metal frame,,,,Non-standard
YYYY142,Supplement for fitting 7 plywood or solid teeth to a removable prosthesis on a metal frame,,,,Non-standard
YYYY158,Supplement for fitting 8 plywood or solid teeth to a removable prosthesis on a metal frame,,,,Non-standard
YYYY476,Supplement for fitting 9 plywood or solid teeth to a removable prosthesis on a metal frame,,,,Non-standard
YYYY159,Supplement for fitting a plywood or solid tooth to a removable prosthesis on a metal frame,,,,Non-standard
YYYY595,Supplement for hemofiltration during SCC monitoring,,,,Non-standard
YYYY300,"Supplement for imaging for interventional radiology, performed in the operating room",,,,Non-standard
YYYY070,Supplement for injection of radiological contrast agent for intervertebral discography,,,,Non-standard
YYYY318,Supplement for injection of radiological contrast agent for multiple intervertebral discography,,,,Non-standard
YYYY425,Supplement for injection of radiological contrast agent for sialography,,,,Non-standard
YYYY073,"Supplement for injection of radiological contrast agent, into the lactiferous ducts",,,,Non-standard
YYYY019,Supplement for injection of radiological contrast medium for hip arthrography,,,,Non-standard
YYYY410,Supplement for injection of radiological contrast medium for retrograde urethrocystography,,,,Non-standard
YYYY420,Supplement for injection of X-ray contrast agent for arthrography,,,,Non-standard
YYYY041,Supplement for intraoperative blood recovery,,,,Non-standard
YYYY188,Supplement for intraoperative harvesting and placement of autograft bone away from the operative site,,,,Non-standard
YYYY066,"Supplement for intraoperative harvesting of saphenous vein autograft for femoropopliteal bypass, for femorotibial bypass or femoroperonial bypass",,,,Non-standard
YYYY405,Supplement for intraoperative injection of radiological contrast agent into the urinary excretory tract for taking X-rays,,,,Non-standard
YYYY400,Supplement for intraoperative injection of radiological contrast product into the bilio-pancreatic excretory tract for taking radiological images,,,,Non-standard
YYYY072,Supplement for intraoperative intracarotid injection of radiological contrast agent for arteriography,,,,Non-standard
YYYY013,Supplement for intraoperative sampling of saphenous vein autograft,,,,Non-standard
YYYY012,Supplement for intraoperative x-rays during orthopedic or trauma surgery,,,,Non-standard
YYYY057,Supplement for intrathecal injection of radiological contrast agent,,,,Non-standard
YYYY415,Supplement for intrauterine injection of radiological contrast agent or drug substance,,,,Non-standard
YYYY068,Supplement for intravascular injection of X-ray contrast medium during lower limb bypass surgery,,,,Non-standard
YYYY025,Supplement for measuring the residual volume of maximum ventilation during standard spirometry,,,,Non-standard
YYYY031,Supplement for mediastinal lymph node dissection during mediastinal surgery,,,,Non-standard
YYYY026,Supplement for mediastinal lymph node dissection during pneumonectomy or lobectomy,,,,Non-standard
YYYY069,Supplement for multiple delivery by cesarean section,,,,Non-standard
YYYY183,Supplement for oral procedures for the care of a patient with a severe disability,,,,Non-standard
YYYY185,Supplement for oral procedures performed in 2 or more sessions for the care of a patient with severe disability,,,,Non-standard
YYYY456,Supplement for performing an electroencephalography act at home or in an establishment without electroencephalographic equipment,,,,Non-standard
YYYY275,Supplement for placing 2 plywood teeth on a removable resin-based plate prosthesis,,,,Non-standard
YYYY246,Supplement for placing 3 plywood teeth on a removable prosthesis with resin base plate,,,,Non-standard
YYYY478,Supplement for placing 4 plywood teeth on a removable prosthesis with resin-based plate,,,,Non-standard
YYYY426,Supplement for placing 5 plywood teeth on a removable prosthesis with resin-based plate,,,,Non-standard
YYYY389,Supplement for placing 6 plywood teeth on a removable resin-based plate prosthesis,,,,Non-standard
YYYY176,Supplement for placing a plywood tooth on a removable prosthesis with a resin-based plate,,,,Non-standard
YYYY166,Supplement for quality ballistic checks in portal imaging radiotherapy,,,,Non-standard
YYYY151,Supplement for quality ballistic checks in radiotherapy by gamma radiography,,,,Non-standard
YYYY145,Supplement for radiological examination of the gallbladder and biliary and / or pancreatic tract during a diagnostic or therapeutic act,,,,Non-standard
YYYY128,Supplement for setting a multi-leaf collimator,,,,Non-standard
YYYY465,Supplement for specific examination prior to and after the act of fitting a mandibular propulsion device in the treatment of obstructive sleep apnea-hypopnea syndrome,,,,Non-standard
YYYY037,Supplement for suprapubic injection of radiological contrast agent for cystography,,,,Non-standard
YYYY094,Supplement for the use of a pulsed dye laser for destruction of plane angioma over 100 cm? to 200 cm?,,,,Non-standard
YYYY085,Supplement for the use of a pulsed dye laser for destruction of plane angioma over 30 cm? to 60 cm?,,,,Non-standard
YYYY112,Supplement for the use of a pulsed dye laser for destruction of plane angioma over 350 cm? to 500 cm?,,,,Non-standard
YYYY222,Supplement for the use of a pulsed dye laser for destruction of plane angioma over 500 cm? to 700 cm?,,,,Non-standard
YYYY077,Supplement for the use of a pulsed dye laser for destruction of plane angioma over 60 cm? to 100 cm?,,,,Non-standard
YYYY005,Supplement for the use of a pulsed dye laser for destruction of plane angioma over 700 cm? and more,,,,Non-standard
YYYY067,Supplement for the use of a pulsed dye laser for destruction of plane angioma over less than 30 cm?,,,,Non-standard
YYYY063,Supplement for use of a pulsed dye laser for destruction of plane angioma over 200 cm? to 350 cm?,,,,Non-standard
YYYY039,"Supplement for use of radiocinema, in 35 mm during a conventional radiology examination",,,,Non-standard
YYYY064,"Supplement for use of video tape recorder, during a conventional radiology examination",,,,Non-standard
YYYY109,Supplement for using custom and focused caches,,,,Non-standard
YYYY212,Supplement for voiding study during urethrocystography,,,,Non-standard
19.02,SUPPLEMENTS,,,,Non-standard
DFSA001,"Suppression of pulmonary systemic circulation, by thoracotomy",,,,Non-standard
EHHF002,"Supra-selective staged venous blood samples from a tributary vessel of the portal vein, via the transcutaneous transhepatic vein",,,,Non-standard
NEMA021,"Supraacetabular osteoplasty of the hip bone by stopper, or acetabuloplasty",,,,Non-standard
NEMA003,"Supraacetabular osteoplasty of the hip bone by stopper, with extraarticular osteotomy of the proximal end of the femur",,,,Non-standard
NEMA017,"Supraacetabular osteoplasty of the hip bone by stopper, with osteotomy of the greater trochanter",,,,Non-standard
NAPA004,Supraacetabular osteotomy of the hip bone by a section,,,,Non-standard
NAPA003,"Supraacetabular osteotomy of the hip bone by one section, with supraacetabular osteoplasty by stopper",,,,Non-standard
NAPA005,"Supraacetabular osteotomy of the hip bone by section, with capsuloplasty",,,,Non-standard
NAPA001,"Supraacetabular osteotomy of the hip bone by section, with osteotomy of the femur",,,,Non-standard
GDFA011,Supracricoid laryngectomy with crico-hyoido-epiglottopexy,,,,Non-standard
GDFA009,Supracricoid laryngectomy with cricohyoidopexy,,,,Non-standard
GDFA012,Supracricoid laryngopharyngectomy with cricohyoidopexy,,,,Non-standard
GDFA014,Supraglottic laryngectomy,,,,Non-standard
GDFA017,Supraglottic laryngopharyngectomy,,,,Non-standard
NCPA009,Supramalleolar osteotomy of the tibia,,,,Non-standard
NCPA006,"Supramalleolar osteotomy of the tibia or hindfoot, with lengthening and / or tendon transfer",,,,Non-standard
EDQH001,"Supraselective arteriography of extradigestive branch of the abdominal aorta or branch of the internal iliac artery, via the transcutaneous arterial route",,,,Non-standard
ECQH016,"Supraselective arteriography of intrathoracic artery to parietal and / or visceral destination, by transcutaneous arterial route",,,,Non-standard
EDQH007,"Supraselective arteriography of the digestive branch of the abdominal aorta, via the transcutaneous arterial route",,,,Non-standard
EEQH004,"Supraselective arteriography of the lower limb, via the transcutaneous arterial route",,,,Non-standard
ECQH014,"Supraselective arteriography of the spinal cord, via the transcutaneous arterial route",,,,Non-standard
ECQH002,"Supraselective arteriography of the upper limb, via the transcutaneous arterial route",,,,Non-standard
ECSF006,"Supraselective artery embolization for bronchial or pleuropulmonary destination, by transcutaneous arterial route",,,,Non-standard
EDSF004,"Supraselective embolization of a branch of the internal iliac artery or of an extradigestive branch of the abdominal aorta, by the transcutaneous arterial route",,,,Non-standard
EDSF006,"Supraselective embolization of a digestive artery, via the transcutaneous arterial route",,,,Non-standard
EESF006,"Supraselective embolization of an artery of the lower limb, via the transcutaneous arterial route",,,,Non-standard
ECSF002,"Supraselective embolization of an artery of the upper limb, via the transcutaneous arterial route",,,,Non-standard
EDSF015,"Supraselective embolization of several digestive arteries, via the transcutaneous arterial route",,,,Non-standard
EDSF008,"Supraselective embolization of the renal artery, via the transcutaneous arterial route",,,,Non-standard
EGSF001,"Supraselective embolization of the testicular or ovarian vein, via the transcutaneous venous route",,,,Non-standard
EDLF016,"Supraselective hepatic in situ intraarterial injection of a nonradio-isotopic anticancer pharmacological agent with particle embolization, by the transcutaneous arterial route",,,,Non-standard
EDLF015,"Supraselective hepatic in situ intraarterial injection of nonradio-isotopic anticancer pharmacological agent without particle embolization, by the transcutaneous arterial route",,,,Non-standard
EENF001,"Supraselective in situ fibrinolysis of an artery or arterial bypass of the lower limb, via the transcutaneous arterial route",,,,Non-standard
ECNF001,"Supraselective in situ fibrinolysis of an artery or arterial bypass of the upper limb, via the transcutaneous arterial route",,,,Non-standard
EBNF002,"Supraselective in situ fibrinolysis of an extracranial artery to cervicocephalic destination, by the transcutaneous arterial route",,,,Non-standard
EDNF001,"Supraselective in situ fibrinolysis of the renal artery, via the transcutaneous arterial route",,,,Non-standard
EELF004,"Supraselective intraarterial in situ injection of an anticancer pharmacological agent into the lower limb, by the transcutaneous arterial route",,,,Non-standard
ECLF006,"Supraselective intraarterial in situ injection of an anticancer pharmacological agent into the upper limb, by the transcutaneous arterial route",,,,Non-standard
EDAF010,"Supraselective intraluminal dilation of the renal artery with stent grafting, via the transcutaneous arterial route",,,,Non-standard
EDAF009,"Supraselective intraluminal dilation of the renal artery without stent grafting, by the transcutaneous arterial route",,,,Non-standard
EDSF009,"Supraselective obliteration of a saccular aneurysm of a digestive artery, via the transcutaneous arterial route",,,,Non-standard
EDSF010,"Supraselective obliteration of a saccular aneurysm of the internal iliac artery or of an extradigestive branch of the abdominal aorta, via the transcutaneous arterial route",,,,Non-standard
EDSF013,"Supraselective obliteration of a saccular aneurysm of the renal artery, via the transcutaneous arterial route",,,,Non-standard
EDSF001,"Supraselective obliteration of several saccular digestive artery aneurysms, via the transcutaneous arterial route",,,,Non-standard
EDLF018,"Supraselective renal in situ intraarterial injection of anticancer pharmacological agent with particle embolization, by the transcutaneous arterial route",,,,Non-standard
EDLF021,"Supraselective renal in situ intraarterial injection of anticancer pharmacological agent without particle embolization, via the transcutaneous arterial route",,,,Non-standard
ADPC002,"Supraselective vagotomy, by laparoscopy",,,,Non-standard
ADPA019,"Supraselective vagotomy, by laparotomy",,,,Non-standard
EASA001,"Supratentorial intracranial vessel ligation, by craniotomy",,,,Non-standard
JDFA015,"Supratrigonal cystectomy with detubulated enlargement enterocystoplasty and ureterovesical reimplantation, by laparotomy",,,,Non-standard
JDFA004,"Supratrigonal cystectomy with enlargement detubulated enterocystoplasty, by laparotomy",,,,Non-standard
AHQP005,"Surface electrode electromyography of the diaphragm, without phrenic nerve stimulation test",,,,Non-standard
AHQP002,"Surface electrode electromyography, with video recording",,,,Non-standard
AHQP001,"Surface electrode electromyography, without video recording",,,,Non-standard
19.01.03,Surgery,,,,Non-standard
19.02.03,Surgery - Obstetrics,,,,Non-standard
ADC,Surgery acts,,,,Non-standard
BEMA008,Surgical correction of a fistula or aqueous humor drainage,,,,Non-standard
JHEA011,Surgical derotation of the penis,,,,Non-standard
07.01.12,Surgical exploration of the digestive system,,,,Non-standard
03.01.04,Surgical exploration of the ear,,,,Non-standard
05.01.07,Surgical exploration of the immune and hematopoietic systems,,,,Non-standard
06.01.10,Surgical exploration of the respiratory system,,,,Non-standard
08.01.08,Surgical exploration of the urinary and genital tract,,,,Non-standard
JHEA003,Surgical reduction of paraphimosis,,,,Non-standard
JMPA003,Surgical release of adhesions from the vulva,,,,Non-standard
11.02.03.03,Surgical treatment of fractures of the middle level of the face,,,,Non-standard
JLDC015,"Suspension of the dome of the vagina [Promontofixation of the vaginal dome], by laparoscopy",,,,Non-standard
JLDA001,"Suspension of the dome of the vagina [Promontofixation of the vaginal dome], by laparotomy",,,,Non-standard
JLDA002,"Suspension of the dome of the vagina [Promontofixation of the vaginal dome], by vaginal approach",,,,Non-standard
JLDA003,"Suspension of the dome of the vagina [Promontofixation of the vaginal dome], with direct cervicocystopexy by infraurethral band, by laparotomy",,,,Non-standard
JLDA004,"Suspension of the dome of the vagina [Promontofixation of the vaginal dome], with indirect cervicocystopexy to the pectineal ligament [Cooper's], by laparotomy",,,,Non-standard
BADA004,"Suspension of the upper eyelid to the frontal muscle, without autograft",,,,Non-standard
MGCC001,"Suture and / or reinsertion of the wrist joint ligament, by arthroscopy",,,,Non-standard
MGCA001,"Suture and / or reinsertion of the wrist joint ligament, by arthrotomy",,,,Non-standard
15.03.02,"Suture and plasty of muscle and tendon, without topographic precision",,,,Non-standard
13.04.01.01,Suture and reinsert muscle and tendon to shoulder girdle and arm,,,,Non-standard
14.04.02.01,Suture and reinsertion of muscle and tendon in the knee,,,,Non-standard
14.04.03.01,Suture and reinsertion of muscle and tendon in the leg and foot,,,,Non-standard
02.05.01.01,Suture and reinsertion of oculomotor muscle,,,,Non-standard
BACA007,"Suture multiple unilateral or bilateral eyelid skin wounds, without involvement of the free edge",,,,Non-standard
LLCA001,"Suture of a diaphragm cupola for congenital hernia, by laparotomy",,,,Non-standard
LLCA002,"Suture of a diaphragm cupola for congenital hernia, by thoracotomy",,,,Non-standard
DGCA006,"Suture of a ruptured isthmus of the aorta, by thoracotomy with CEC",,,,Non-standard
DGCA002,"Suture of a ruptured isthmus of the aorta, by thoracotomy without CEC",,,,Non-standard
BACA005,"Suture of a skin wound of an eyelid, with involvement of the free edge",,,,Non-standard
BACA002,"Suture of a skin wound of an eyelid, without involvement of the free edge",,,,Non-standard
NJCA001,"Suture of a tendon of the hindfoot, by direct approach",,,,Non-standard
LLCC001,"Suture of a wound or recent rupture of a diaphragm cupola, by thoracoscopy",,,,Non-standard
LLCA003,"Suture of a wound or recent rupture of a diaphragm cupola, by thoracotomy",,,,Non-standard
LLCC003,"Suture of a wound or recent rupture of the diaphragm cupola, by laparoscopy",,,,Non-standard
ECCA004,"Suture of an artery wound in the upper limb, by direct approach",,,,Non-standard
AHCA016,"Suture of deep nerve wound of the upper limb upstream of the wrist, by direct approach",,,,Non-standard
EJCA001,"Suture of deep vein wound of the leg and / or thigh, by direct approach",,,,Non-standard
EFCA001,"Suture of deep vein wound of the upper limb or neck, by direct approach",,,,Non-standard
EDCA001,"Suture of digestive artery wound, by laparotomy",,,,Non-standard
01.05.06.02,Suture of lumbosacral plexus and lower limb nerve,,,,Non-standard
BACA001,"Suture of multiple unilateral or bilateral eyelid skin wounds with involvement of the free border, tarsus and / or levator muscle of the upper eyelid, with repositioning of the eyelid ligament",,,,Non-standard
BACA006,"Suture of multiple unilateral or bilateral eyelid skin wounds with involvement of the free border, tarsus and / or levator muscle of the upper eyelid, without repositioning of the eyelid ligament",,,,Non-standard
JHCA006,"Suture of ruptured testis, by scrotal approach",,,,Non-standard
MJCA010,"Suture of tendon wounds of the flexor muscles of the fingers, 2 nerves and one or two palmar digital arteries, on a spoke of the hand",,,,Non-standard
JNCA002,"Suture of the body of the uterus [Hysterorrhaphy] for obstetric rupture, by laparotomy",,,,Non-standard
02.04.06.01,Suture of the eye bulb [eyeball],,,,Non-standard
08.03.02.04,Suture of the testis and its appendages,,,,Non-standard
ECCA005,"Suture of wound of an artery, on a ray of the hand",,,,Non-standard
JACA001,"Suture of wound or fracture of the kidney limited to the parenchyma, by direct approach",,,,Non-standard
HJCC001,"Suture of wound or intraperitoneal perforation of the rectum, by laparoscopy",,,,Non-standard
HJCA001,"Suture of wound or intraperitoneal perforation of the rectum, by laparotomy",,,,Non-standard
HHCC001,"Suture of wound or perforation of the colon, by laparoscopy",,,,Non-standard
HHCA001,"Suture of wound or perforation of the colon, by laparotomy",,,,Non-standard
HECA001,"Suture of wound or perforation of the esophagus, by cervicotomy",,,,Non-standard
HECA004,"Suture of wound or perforation of the esophagus, by laparotomy",,,,Non-standard
HECC001,"Suture of wound or perforation of the esophagus, by thoracoscopy",,,,Non-standard
HECA002,"Suture of wound or perforation of the esophagus, by thoracotomy",,,,Non-standard
HGCA002,"Suture of wound or perforation of the small intestine, by laparotomi",,,,Non-standard
HFCC001,"Suture of wound or perforation of the stomach or duodenum, by laparoscopy",,,,Non-standard
HFCA003,"Suture of wound or perforation of the stomach or duodenum, by laparotomy",,,,Non-standard
LLCA005,"Suture of wound or recent rupture of the diaphragm cupola, by laparotomy",,,,Non-standard
GECA001,"Suture of wound or rupture of bronchus, by thoracotomy",,,,Non-standard
GECA002,"Suture of wound or rupture of the trachea, by cervicothoracotomy or thoracotomy",,,,Non-standard
GECA003,"Suture of wound or rupture of the trachea, by cervicotomy",,,,Non-standard
JCCA003,"Suture of wound or rupture of the ureter, by direct approach",,,,Non-standard
JCCC003,"Suture of wound or rupture of the ureter, by laparoscopy or by retroperitoneoscopy",,,,Non-standard
JDCC016,"Suture of wound or ruptured bladder, by laparoscopy",,,,Non-standard
JDCA003,"Suture of wound or ruptured bladder, by laparotomy",,,,Non-standard
PCCA002,Suture of wound or ruptured tendon,,,,Non-standard
ECCA001,"Suture of wounds of 2 arteries, on a ray of the hand",,,,Non-standard
AHCA002,"Suture of wounds of 2 palmar digital nerves and a palmar digital artery, on a spoke of the hand",,,,Non-standard
AHCA013,"Suture of wounds of 2 palmar digital nerves, on a ray of the hand",,,,Non-standard
MJCA005,"Suture of wounds of a tendon of a flexor muscle of the fingers and 2 palmar digital nerves, on a spoke of the hand",,,,Non-standard
MJCA008,"Suture of wounds of the 2 tendons of the flexor muscles of the fingers and of a digital palmar nerve, on a ray of the hand",,,,Non-standard
MJCA007,"Suture of wounds of the 2 tendons of the flexor muscles of the fingers and the 2 palmar digital nerves, on a ray of the hand",,,,Non-standard
MJCA002,"Suture of wounds of the 2 tendons of the flexor muscles of the fingers on a radius of the hand, by direct approach",,,,Non-standard
MHCA003,Suture or plasty of the capsuloligamentous apparatus of a metacarpophalangeal joint,,,,Non-standard
MHCA001,Suture or plasty of the capsuloligamentous apparatus of several metacarpophalangeal joints,,,,Non-standard
MHCA002,"Suture or plasty of the capsuloligamentous apparatus of the metacarpophalangeal joint of the thumb, by direct approach",,,,Non-standard
MFCA001,"Suture or plasty of the collateral capsuloligamentous apparatus of the elbow joint, by direct approach",,,,Non-standard
NGCA001,"Suture or reconstruction of the capsuloligamentous apparatus of the tibiotalar joint and / or the talocalcaneal joint, by direct approach",,,,Non-standard
NFCA004,"Suture or reinsertion of the anterior cruciate ligament and periarticular capsuloligamentous component of the knee, by arthrotomy",,,,Non-standard
NFCC002,"Suture or reinsertion of the anterior cruciate ligament of the knee, by arthroscopy",,,,Non-standard
NFCA001,"Suture or reinsertion of the anterior cruciate ligament of the knee, by arthrotomy",,,,Non-standard
NFCA003,"Suture or reinsertion of the cruciate ligaments and periarticular capsuloligamentous component of the knee, by arthrotomy",,,,Non-standard
NFCA002,"Suture or reinsertion of the knee joint capsule, by direct approach",,,,Non-standard
NFCA005,"Suture or reinsertion of the posterior cruciate ligament and periarticular capsuloligamentous component of the knee, by arthrotomy",,,,Non-standard
NFCC001,"Suture or reinsertion of the posterior cruciate ligament of the knee, by arthroscopy",,,,Non-standard
NFCA006,"Suture or reinsertion of the posterior cruciate ligament of the knee, by arthrotomy",,,,Non-standard
ADCA006,"Suture wound of a cranial nerve, by craniotomy",,,,Non-standard
MJCA001,"Suture wound of a tendon of a flexor muscle of the fingers on a radius of the hand, by direct approach",,,,Non-standard
DGCA001,"Suture wound of abdominal aorta, common iliac artery and / or external iliac artery, by laparotomy",,,,Non-standard
